Selected,Content,Date,Language,Author Verified
No,"Yes, he deserves what he’s getting but so do #Trump; #Pence; #Cruz; Giuliani &amp; every #GOP representative who voted to overturn the election.
#TrumpCrimeFamilyForPrison https://t.co/KvvevWoqrP",1/17/2021 5:54,en,FALSE
No,"I do not go inciting violence hate lies
I write poetry about life
I also comment on issues of #humanrights #animalrights Injustices of #Laws
you only have 2 think of #Trump who nominated Brett Kavanaugh Associate Justice of the Supreme Court
Got out of Sexual Assault Rape Charges",1/17/2021 5:54,en,FALSE
No,"Suck it up princess you're going to jail.
https://t.co/ujjoG8oEWJ

#nopardons #MAGATerrorists #DonaldTrump #TrumpTreason #TrumpsTerrorists #Trump",1/17/2021 5:53,en,FALSE
No,"Watch and listen and maybe understand why I’m so pissed.🇺🇸 
#Trump #AmericaOrTrump #America https://t.co/so0sFhYmo9",1/17/2021 5:53,en,FALSE
No,"It's so beautiful to wake up and #Trump isn't trending and staining our #democracy @Jack @Twitter #Twitter
Good decision! https://t.co/nHFZDFycf0",1/17/2021 5:53,en,FALSE
No,"i fought hard to get rid of #trump, donated liberally to #Biden, but now with his plan to legalize 11 million illegals is running a shudder down my spine, this will open the floodgates to a never ending deluge of border crossers, this will be a disaster &amp; may need 2 vote GOP",1/17/2021 5:52,en,FALSE
No,"next Wednesday
  ,
  The lame duckling stage ends
  ,
  The period of 100 days begins
  ,
  ,
  Fasten your belts
   And enjoy the ride :))))
  ,
  #America #Trump #Biden #John_Biden #U_S_A",1/17/2021 5:52,en,FALSE
No,"All 50 US states on alert for armed protests

https://t.co/El7ZjjG6q3

#armedprotests #Columbia #JoeBiden #Trump #US #CapitolRiots",1/17/2021 5:52,en,FALSE
No,@NikkiHaley @standamericanow #Trump must be brought to account for all his criminal activities during (and before) his presidency; else the precedents he has set will embolden any future autocrat or—heaven forbid—theocrat—to the serious detriment of a free and just society … https://t.co/Pr39RDhvz6,1/17/2021 5:52,en,FALSE
No,"The Mall will be closed on @JoeBiden s #Inauguration? Too bad,  because the turnout would have been huge and #Trump would have been defeated again. 

#NationalMall #Biden #CapitolRiot https://t.co/bx6ZNlmkcX",1/17/2021 5:52,en,FALSE
No,"The amount of narcissism &amp; psychopathy throughout the entire #Trump family is absolutely astounding. I will never understand how anyone followed them in such a bizarre, cult like way. I often wonder  if our country will ever be able to recover from all that has happened. https://t.co/UEVWtsaAni",1/17/2021 5:52,en,FALSE
No,damn dude. no wonder he’s getting ghosted rn #trump #rudy #ghosted #wow https://t.co/OIbGERcME1,1/17/2021 5:51,en,FALSE
No,"If you believe that this Jenna Ryan is an actual Trump supporter, or any that breached the Capitol, you are either naive or are completely brainwashed by liberal media.  Ryan and others are ANTIFA- attempting to sabotage the peace Trump called for. #Trump

https://t.co/ymrAOfjvnY",1/17/2021 5:51,en,FALSE
No,"VANITY &amp; TRUMP. 
Where are they now? @nytimes 
#TrumpTreason #TrumpIsALaughingStock #TrumpMeltdown #insurrection #Trump  #SeditionCaucus 
#DonaldTrump 

 ""President Donald Trump Is Praised — By The Cabinet He Appointed | The New York Times"" on YouTube

https://t.co/EP8kXzqJHu",1/17/2021 5:51,en,FALSE
No,"@JHoganGidley Funny how the man who said everything was either a hoax or fake news, now plans to pardon himself, his family and those that shilled for him. 

Screams innocence, right ? 
#TrumpImpeachment 
#TrumpIsACriminal 
#TrumpLies 
#Trump 
#AmericaOrTrump",1/17/2021 5:50,en,FALSE
No,"How about when #Trump said in a speech in California, “Look at my African American over here!” #favoritetrumpmemories",1/17/2021 5:50,en,FALSE
No,"#TrumpTerrorist #MarcoRubio darling,

You can't pray the #Trump stink away.

Sincerely,

America https://t.co/BbY8aI5wva",1/17/2021 5:50,en,FALSE
No,"@LRussellWolpe @phbarratt @CroakeyNews @MelissaSweetDr Yes, that they might do it with impunity in #Trump's America. #auspol",1/17/2021 5:50,en,FALSE
No,#Trump Knows https://t.co/Hakk9VoM9k,1/17/2021 5:50,en,FALSE
No,"This is still the most incredible picture of the Trump Administration. Seriously. That’s a sitting American president. Imagine Obama, Hillary, Bush, Biden, or literally any other elected official ever...oh wait @senatemajldr actually he could probably pull that off. Nvm. #Trump https://t.co/030RgUrgTb",1/17/2021 5:50,en,FALSE
No,"When the inevitable war within the Republican party divides them and the potty-trained Republicans splinter off, can we just call who's left (former R's) the Nazi party? No sense in being daft about their white nationalist roots and hatred of democracy. 

#gop #nazi #trump https://t.co/aKPmKaMRHj",1/17/2021 5:50,en,FALSE
No,#Trump was responsible for the #CapitolRiot  He needs to show #Accountability and face #Consequences Pentagon Confirms Military Will Not Hold Traditional Farewell Ceremony for Trump https://t.co/dQF0qkFcof via @mediaite,1/17/2021 5:49,en,FALSE
